 ,Area,Mean,Min,Max,Angle,Length
251,2.972,1933.716,1666.910,2297.591,-10.008,30.328
252,2.944,1941.256,1513.000,2157.903,6.710,30.072
253,2.696,1939.691,1734.681,2124.660,2.437,27.549
254,2.915,1895.552,1564.794,2103.712,32.125,29.734
255,2.963,1932.263,1557.000,2190.872,41.082,30.299
256,3.210,1908.143,1565.000,2177.393,41.379,32.778
257,2.905,1993.864,1688.000,2281.509,37.776,29.636
258,2.848,1936.341,1617.544,2163.507,-27.597,29.075
259,2.886,1938.204,1649.000,2169.643,49.028,29.473
260,2.963,1901.995,1616.795,2245.240,31.535,30.231
261,2.877,1941.699,1756.480,2206.149,44.193,29.403
262,2.953E-6,1648.260,1367.301,1895.021,7.815,0.030
263,2.925E-6,1618.486,1316.000,1905.204,34.624,0.030
264,2.810E-6,1571.129,1315.980,1867.429,2.337,0.029
265,2.944E-6,1632.611,1426.425,1814.644,52.907,0.030
266,2.877E-6,1630.779,1415.251,1880.250,-3.434,0.029
267,3.067E-6,1621.170,1458.000,1857.123,17.418,0.031
268,3.086E-6,1612.113,1237.184,1846.993,58.671,0.032
269,3.086E-6,1600.153,1371.463,1851.630,144.834,0.032
270,2.896E-6,1634.775,1414.938,1832.798,-172.030,0.030
271,3.001E-6,1664.412,1211.442,1899.298,-173.418,0.031
272,3.058E-6,1618.332,1318.000,1894.188,-167.005,0.031
273,2.829E-6,1640.315,1329.234,1952.398,173.019,0.029
274,2.867E-6,1650.226,1375.165,1975.830,-147.265,0.029
275,3.210E-6,1641.240,1335.000,1918.750,55.176,0.033
276,2.925E-6,1629.305,1298.890,1934.635,164.055,0.030
277,2.953E-6,1633.550,1413.429,1894.651,172.185,0.030
278,2.839E-6,1642.413,1279.000,1859.825,43.363,0.029
279,2.848E-6,1580.775,1289.000,1751.384,55.670,0.029
280,3.039E-6,1594.603,1299.938,1838.591,135.764,0.031
281,3.210E-6,1575.499,1337.126,1755.679,164.476,0.033
282,2.877E-6,1613.211,1321.000,1774.231,4.574,0.029
283,3.096E-6,2075.848,1741.333,2426.333,146.310,0.032
284,3.077E-6,2191.784,1915.899,2693.839,155.821,0.031
285,2.991E-6,2083.864,1823.109,2371.146,167.829,0.031
286,2.991E-6,2061.213,1656.359,2517.174,-159.829,0.031
287,3.201E-6,2105.804,1627.641,2450.160,-147.450,0.033
288,3.020E-6,2042.968,1727.073,2418.051,-146.611,0.031
289,2.563E-6,2158.282,1777.818,2626.518,26.565,0.026
290,2.991E-6,2167.049,1808.185,2452.739,32.471,0.031
291,3.058E-6,2139.056,1841.734,2389.320,-23.199,0.031
292,2.991E-6,2112.932,1735.394,2553.922,-32.471,0.031
293,2.801E-6,2159.798,1849.408,2509.548,-22.891,0.029
294,2.848E-6,2119.612,1821.505,2573.515,-9.273,0.029
295,2.877E-6,2155.097,1843.525,2492.918,-4.574,0.029
296,3.210E-6,2134.761,1580.000,2448.837,34.824,0.033
297,3.096E-6,2106.370,1851.000,2360.321,141.009,0.032
298,3.134E-6,2131.170,1723.974,2497.474,140.194,0.032
299,3.210E-6,2101.234,1839.844,2508.388,148.861,0.033
300,2.848E-6,2062.215,1760.011,2403.845,145.670,0.029
301,2.963E-6,2114.323,1820.503,2369.185,-137.353,0.030
302,3.115E-6,2163.339,1786.000,2478.439,36.027,0.032
303,3.134E-6,2129.236,1520.968,2501.776,50.194,0.032
304,2.848E-6,2199.982,1882.000,2739.429,-34.330,0.029
305,2.810E-6,2088.767,1751.711,2436.035,139.145,0.029
306,2.953E-6,1720.260,1366.000,2025.296,155.925,0.030
307,3.172E-6,1759.285,1379.702,2168.039,173.774,0.032
308,3.191E-6,1752.257,1332.158,2034.501,158.962,0.033
309,3.077E-6,1746.666,1472.000,2134.306,26.565,0.031
310,2.848E-6,1740.245,1459.000,2087.219,34.330,0.029
311,3.001E-6,1650.807,1364.470,1954.738,151.477,0.031
312,2.867E-6,1784.504,1472.485,2070.107,147.265,0.029
313,3.077E-6,1801.351,1497.000,2102.793,153.435,0.031
314,2.848E-6,1776.512,1485.744,2176.255,145.670,0.029
315,3.029E-6,1733.221,1461.878,2004.239,152.949,0.031
316,2.991E-6,1776.763,1419.027,2115.151,-175.601,0.031
317,3.010E-6,1745.310,1429.280,2043.880,-172.333,0.031
318,2.934E-6,1720.401,1417.844,2074.635,141.340,0.030
319,2.801E-6,1786.527,1479.119,2012.189,135.830,0.029
320,3.001E-6,1733.644,1412.407,2094.457,46.548,0.031
321,3.363E-6,1740.425,1258.215,2125.062,132.930,0.034
322,2.934E-6,1713.215,1402.336,2147.062,162.979,0.030
323,2.801E-6,1687.831,1379.331,2008.884,34.992,0.029
324,2.925E-6,1722.335,1401.000,2023.464,34.624,0.030
325,2.829E-6,1798.507,1508.273,2222.360,144.058,0.029
326,3.058E-6,1723.574,1368.363,1955.745,156.801,0.031
327,3.201E-6,1718.984,1378.000,2063.721,147.450,0.033
328,2.839E-6,1778.929,1486.545,2128.458,131.730,0.029
329,3.001E-6,1734.642,1436.609,2029.917,-151.477,0.031
330,2.963E-6,1794.948,1439.139,2231.800,-132.647,0.030
331,2.867E-6,1779.245,1480.000,2080.485,-122.735,0.029
332,3.077E-6,1760.468,1504.970,2113.487,151.049,0.031
333,2.867E-6,1726.616,1379.000,2100.896,-11.535,0.029
334,3.077E-6,1759.010,1348.000,2217.611,-165.964,0.031
335,2.801E-6,1673.292,1318.934,1993.108,157.109,0.029
336,2.820E-6,1749.482,1441.506,2105.906,-146.634,0.029
